MotivationID,Text
100001,"Du wirst es schaffen!"
100002,"Do it! Do it!"
100003,"You don't have to be great to start. But you do have to start to be great. "
100004,"Der Weg ist das Ziel."
100005,"Live is better, when you are laughing."
100006,"Hakuna Matata!"
100007,"Your only limit is you!"
100008,"Be a voice, not an echo!"
100009,"Only dead fish follow the stream! "
100010,"Dreams don't work unless you do! "
